CD-Uberlândia;Desktop;HP;HP Compaq 8100 Elite SFF Brazil PC;103096;BRG113F281;EM USO;rede;N/A
CD-Uberlândia;Scanner de Mão;Nonus ;LI250+;N/A;1130402969;SUCATA;Estoque TI;Sucata
CD-Uberlândia;Scanner de Mão;S/N;N/A;137606;N/A;SUCATA;Estoque TI;Sucata
CD-Uberlândia;Scanner de Mão;S/N;N/A;104135;N/A;DANIFICADO;chamado 3354605 com a micro;não funciona
CD-Uberlândia;Scanner de Mão;Symbol;LS3408;N/A;1501300506487;DANIFICADO;chamado 3354605 com a micro;não funciona
CD-Uberlândia;Scanner de Mão;Symbol;LS3408;N/A;1401200503901;DANIFICADO;chamado 3354605 com a micro;não funciona
CD-Uberlândia;Scanner de Mão;Symbol;LS3408;127841;1501400501790;DANIFICADO;chamado 3354605 com a micro;não funciona
CD-Uberlândia;Scanner de Mão;Symbol;LS3408;N/A;1501300506498;DANIFICADO;chamado 3314355 com a micro;não funciona
CD-Uberlândia;Scanner de Mão;Symbol;LS3408;N/A;1501300506441;DANIFICADO;chamado 3314355 com a micro;não funciona
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;.1010200503445;Em uso;Conferência;N/A
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;.1006000504699;Em uso;Conferência;N/A
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;.1010100502434;Em uso;Conferência;N/A
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;.1010100502806;Em uso;Conferência;N/A
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;.1010100502658;Em uso;Conferência;N/A
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;.1010100502417;Em uso;Conferência;N/A
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;.1010100502421;Em uso;Conferência;N/A
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;.1010100502442;Em uso;Conferência;N/A
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;.1010100502444;Em uso;Conferência Aleatória;N/A
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;S/N;Em uso;Conferência Aleatória;N/A
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;S/N;Danificado;Danificado;Abrindo Chamado
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;S/N;Danificado;Danificado;Abrindo Chamado
CD-Uberlândia;Scanner de Mesa;Symbol;LS7708-SR10007ZCR;S/N;S/N;Danificado;Danificado;Abrindo Chamado
CD-Uberlândia;Tablet;Samsung;BSM-T530/M16K;S/N;RX2F500E9PK;Danificado;Estoque TI;Sucata
CD-Uberlândia;Tablet;Samsung;BSM-T530/M16K;S/N;RX2F500EKWY;Danificado;Estoque TI;Sucata
CD-Uberlândia;Tablet;Samsung;BSM-T530/M16K;S/N;RX2F500E8PW;Danificado;Estoque TI;Sucata
CD-Uberlândia;Tablet;Samsung;BSM-T530/M16K;S/N;RX2F500ECQN;Danificado;Estoque TI;Sucata
CD-Uberlândia;Tablet;Samsung;BSM-T530/M16K;S/N;RX2F500EKZL;Danificado;Estoque TI;Sucata
CD-Uberlândia;Tablet;Samsung;BSM-T530/M16K;S/N;RX2F500ES6J;Danificado;Estoque TI;Sucata
CD-Uberlândia;Tablet;Samsung;BSM-T530/M16K;S/N;RX2F500ENVX;Danificado;Estoque TI;Sucata
CD-Uberlândia;Tablet;Samsung;BSM-T530/M16K;S/N;RX2F500EQCH;Danificado;Estoque TI;Sucata
